episode,reward,epsilon,loss
1,-14911.500000000016,1.0,0.11004982081552346
2,-13397.900000000016,0.9928774928774928,0.07121559156415364
3,-15063.500000000031,0.9857549857549858,0.031148934348796804
4,-15095.900000000018,0.9786324786324786,0.03196118900862833
5,-14660.700000000019,0.9715099715099715,0.0287340569568591
6,-12934.300000000017,0.9643874643874644,0.027852657344192268
7,-11759.800000000012,0.9572649572649573,0.02819972432528933
8,-13243.50000000002,0.9501424501424501,0.03203063071188
9,-12665.50000000002,0.9430199430199431,0.03274758977608548
10,-15197.500000000027,0.9358974358974359,0.08378139698050088
11,-13261.300000000021,0.9287749287749287,0.05847625199498402
12,-14966.70000000003,0.9216524216524217,0.056402533097813526
13,-15292.100000000026,0.9145299145299145,0.054552785938398705
14,-12476.700000000004,0.9074074074074074,0.05371276207475199
15,-13231.300000000025,0.9002849002849003,0.05375576238665316
16,-12342.900000000012,0.8931623931623932,0.053646530800809465
17,-13073.300000000014,0.886039886039886,0.05704930445386304
18,-11284.400000000018,0.878917378917379,0.10278810448944568
19,-13075.100000000022,0.8717948717948718,0.07630206139551268
20,-12366.000000000013,0.8646723646723646,0.07387181435608202
21,-13479.100000000022,0.8575498575498576,0.07465284066274762
22,-11391.40000000001,0.8504273504273504,0.07706577111449507
23,-12216.100000000013,0.8433048433048433,0.07803412630326217
24,-12070.800000000017,0.8361823361823362,0.06982703304125203
25,-15325.900000000021,0.829059829059829,0.07669982952583167
26,-11308.20000000001,0.8219373219373219,0.11878748492648204
27,-11130.700000000012,0.8148148148148149,0.10704092760052945
28,-11862.000000000013,0.8076923076923077,0.09816774746610059
29,-13130.100000000017,0.8005698005698005,0.10731807454592651
30,-10898.000000000007,0.7934472934472935,0.1065066309645772
31,-11482.500000000016,0.7863247863247863,0.10335371792316436
32,-10526.600000000011,0.7792022792022792,0.10613489958147208
33,-11398.200000000003,0.7720797720797721,0.10047629465245539
34,-10422.200000000003,0.7649572649572649,0.14742941262407436
35,-10030.700000000008,0.7578347578347578,0.13187968898564578
36,-10254.400000000007,0.7507122507122508,0.1336468907694022
37,-11606.800000000016,0.7435897435897436,0.12854894718362225
38,-12572.200000000015,0.7364672364672364,0.12299788331405984
39,-12196.400000000014,0.7293447293447294,0.13247691742661927
40,-11196.600000000006,0.7222222222222222,0.12616607561293575
41,-10280.000000000002,0.7150997150997151,0.12221706983529859
42,-11489.500000000005,0.707977207977208,0.1668162530908982
43,-10123.6,0.7008547008547008,0.15289683350258404
44,-11433.400000000009,0.6937321937321937,0.1518880398116178
45,-11052.40000000001,0.6866096866096867,0.15661691311332915
46,-10018.7,0.6794871794871795,0.158937080990937
47,-10607.400000000012,0.6723646723646723,0.15237080314093165
48,-11942.800000000014,0.6652421652421652,0.14885563080509503
49,-10341.800000000003,0.6581196581196581,0.15682875692016549
50,-10841.599999999999,0.650997150997151,0.19841276154749923
51,-10465.800000000003,0.6438746438746439,0.1748694530998667
52,-10281.700000000008,0.6367521367521367,0.17792318827576106
53,-10247.400000000007,0.6296296296296297,0.1802290626284149
54,-9623.999999999996,0.6225071225071226,0.1730095074408584
55,-9601.799999999996,0.6153846153846154,0.16677781380712986
56,-10696.999999999996,0.6082621082621082,0.1675346716824505
57,-11531.400000000003,0.6011396011396011,0.16852475915931994
58,-10153.800000000003,0.594017094017094,0.21025183672706285
59,-10477.800000000005,0.586894586894587,0.2008621851189269
60,-10477.800000000005,0.5797720797720798,0.1966104607615206
61,-10238.20000000001,0.5726495726495726,0.18897824299832186
62,-9330.999999999998,0.5655270655270656,0.17832518940170605
63,-9705.000000000002,0.5584045584045585,0.19422649153404767
64,-10394.200000000006,0.5512820512820513,0.18613489518562953
65,-10600.300000000001,0.5441595441595442,0.18932534704605739
66,-9154.999999999995,0.537037037037037,0.21632525391048854
67,-10157.800000000005,0.5299145299145299,0.20595371843212182
68,-10260.600000000006,0.5227920227920229,0.20997989082501994
69,-10270.800000000001,0.5156695156695157,0.20588783195449245
70,-8988.299999999994,0.5085470085470085,0.20683010042541558
71,-9490.299999999996,0.5014245014245015,0.2041572503745556
72,-8837.099999999993,0.4943019943019943,0.20629157291518319
73,-9151.799999999992,0.4871794871794872,0.20358769334852694
74,-7132.799999999992,0.48005698005698005,0.2361540904475583
75,-9155.799999999997,0.472934472934473,0.247845091463791
76,-8449.599999999995,0.4658119658119658,0.2184193178597424
77,-9181.399999999996,0.45868945868945876,0.22826394355959362
78,-9596.599999999995,0.4515669515669516,0.2165664717555046
79,-8785.199999999997,0.4444444444444444,0.2231378132270442
80,-8146.599999999993,0.43732193732193736,0.22626208373241954
81,-9219.499999999989,0.4301994301994302,0.22519266137646304
82,-10796.700000000004,0.42307692307692313,0.23676936849951744
83,-8102.599999999994,0.41595441595441596,0.24750695667333072
84,-10253.800000000007,0.4088319088319089,0.25042905484636624
85,-8210.49999999999,0.4017094017094017,0.2378716176168786
86,-8291.599999999993,0.39458689458689467,0.23767246397005187
87,-7492.799999999994,0.3874643874643875,0.23208495821389888
88,-7899.599999999993,0.3803418803418803,0.22999747151301966
89,-9244.599999999991,0.37321937321937326,0.2292986434780889
90,-6996.799999999994,0.3660968660968661,0.28557438117762407
91,-8263.199999999993,0.35897435897435903,0.2593614671793249
92,-9222.79999999999,0.35185185185185186,0.25176919996738434
93,-9040.799999999994,0.3447293447293448,0.25529109819067847
94,-7425.799999999997,0.33760683760683763,0.24308744130863083
95,-8486.399999999994,0.33048433048433046,0.25941775780585075
96,-8367.299999999992,0.3233618233618234,0.2518576929966609
97,-7684.999999999992,0.3162393162393162,0.24834332797262404
98,-7696.999999999998,0.30911680911680917,0.2714205451723602
99,-8342.599999999991,0.301994301994302,0.261802190873358
100,-9102.999999999993,0.29487179487179493,0.26276376512315536
101,-7053.099999999996,0.28774928774928776,0.2739447683095932
102,-7890.599999999998,0.2806267806267807,0.2636606418010261
103,-8667.999999999993,0.27350427350427353,0.2596762862884336
104,-7018.199999999999,0.26638176638176636,0.2790224904815356
105,-7580.399999999994,0.2592592592592593,0.2658183306455612
106,-7369.999999999995,0.25213675213675213,0.28177528517941636
107,-8386.199999999992,0.24501424501424507,0.27048160342706573
108,-7286.999999999992,0.2378917378917379,0.31338059364093673
109,-7127.4000000000015,0.23076923076923084,0.2932658774157365
110,-6496.599999999993,0.22364672364672367,0.2669206420580546
111,-9297.799999999996,0.2165242165242166,0.28608683260778583
112,-8126.599999999993,0.20940170940170943,0.2884307913068268
113,-6718.399999999999,0.20227920227920226,0.28703279561466644
114,-7338.599999999992,0.1951566951566952,0.3043623672591315
115,-7644.799999999991,0.18803418803418803,0.3174709369738897
116,-6939.599999999997,0.18091168091168097,0.3109717943188217
117,-7159.599999999993,0.1737891737891738,0.30973920424779255
118,-7000.399999999999,0.16666666666666674,0.29062850578791566
119,-6435.399999999992,0.15954415954415957,0.3043349142703745
120,-6553.499999999995,0.1524216524216525,0.27924413879712423
121,-7019.599999999994,0.14529914529914534,0.28506772716840106
122,-7444.599999999992,0.13817663817663817,0.3042773930562867
123,-6762.199999999991,0.1310541310541311,0.29952594596478677
124,-7855.899999999992,0.12393162393162394,0.3098845296849807
125,-7150.299999999991,0.11680911680911688,0.2988321496794621
126,-7360.399999999998,0.1096866096866097,0.2899871234264639
127,-7069.599999999994,0.10256410256410264,0.30532414383358425
128,-6303.9999999999945,0.09544159544159547,0.287343401586016
129,-6369.799999999994,0.0883190883190883,0.28828525721198983
130,-6848.599999999995,0.08119658119658124,0.2985923954596122
131,-6551.199999999992,0.07407407407407407,0.2874560208370288
132,-6409.299999999992,0.06695156695156701,0.2945100443230735
133,-8355.599999999995,0.05982905982905984,0.2858869734737608
134,-6793.799999999995,0.05270655270655278,0.2789331534670459
135,-6722.199999999994,0.05,0.2956872987250487
136,-6339.1999999999925,0.05,0.29076264885564646
137,-5964.399999999993,0.05,0.28177334794567693
