Approach,Avg Reward,Avg Queue,Avg Delay,Throughput,Switches,Spillback
DQN RL,-6352.983749999997,41.748888888888885,41.748888888888885,817.225,66.55,0.0
Static,-13452.731250000015,78.96368055555556,81.50180555555555,854.1125,28.0,1.6920833333333334
Greedy,-17328.677500000013,99.41111111111111,102.2870486111111,927.5375,181.175,1.9172916666666666
Threshold,-17546.143750000014,101.5292361111111,104.55694444444444,904.8625,70.4875,2.0184722222222224
