policy,avg_queue,avg_blocked,avg_switches,avg_throughput,avg_delay,experiment_seconds
Static fixed-time,42.95552083333333,0.0,180.0,692.8,15.450021235443126,15.537577867507935
Greedy longest-queue,21.174374999999998,0.0,464.1,707.25,8.115820751422955,15.537578821182251
Max-pressure heuristic,21.895729166666666,0.0,506.525,706.7375,8.36029630747871,15.537578821182251
Tabular RL network controller,21.703802083333333,0.0,540.0,706.0,8.287796660113816,15.537578821182251
